,,VOCAB,FSIZE,Nu,Macro-P,Macro-R,Macro-AUC,Macro-F05,Macro-F1
POS3G,SANTINIS,43,4,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,4,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,4,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,4,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,4,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,4,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,4,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,4,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,4,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,10,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,10,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,10,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,10,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,10,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,10,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,10,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,10,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,10,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,20,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,20,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,20,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,20,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,20,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,20,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,20,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,20,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,20,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,43,40,0.05,0.1514018499,0.1021916667,0.0576867,0.1381013652,0.1220221052
POS3G,SANTINIS,43,40,0.07,0.1458764082,0.0997416667,0,0.1335242821,0.1184762652
POS3G,SANTINIS,43,40,0.1,0.17492826,0.080575,0,0.1417341459,0.1103300564
POS3G,SANTINIS,43,40,0.15,0.1735325232,0.0732083333,0,0.136202368,0.1029746511
POS3G,SANTINIS,43,40,0.17,0.1777416426,0.0817166667,0,0.1439181073,0.1119598336
POS3G,SANTINIS,43,40,0.3,0.1534889127,0.0932166667,0,0.1359131106,0.1159902816
POS3G,SANTINIS,43,40,0.5,0.1347028514,0.092475,0,0.1234302001,0.1096642662
POS3G,SANTINIS,43,40,0.7,0.1145889763,0.06805,0,0.1008014747,0.0853900958
POS3G,SANTINIS,43,40,0.9,0.1490233368,0.0749,0,0.1244011068,0.0996934762
POS3G,SANTINIS,1330,4,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,4,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,4,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,4,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,4,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,4,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,4,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,4,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,4,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,10,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,10,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,10,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,10,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,10,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,10,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,10,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,10,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,10,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,20,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,20,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,20,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,20,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,20,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,20,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,20,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,20,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,20,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,40,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,40,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,40,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,40,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,40,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,40,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,40,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,40,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,40,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,100,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,100,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,100,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,100,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,100,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,100,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,100,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,100,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,100,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,500,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,500,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,500,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,500,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,500,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,500,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,500,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,500,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,500,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,1330,1000,0.05,0.1268690931,0.1014166667,0.0563501,0.1208054134,0.1127239872
POS3G,SANTINIS,1330,1000,0.07,0.1220415685,0.1001666667,0.0561078,0.116934231,0.1100273993
POS3G,SANTINIS,1330,1000,0.1,0.125582196,0.0999583333,0,0.1194577083,0.1113146896
POS3G,SANTINIS,1330,1000,0.15,0.127286901,0.0965833333,0,0.1196778511,0.1098296361
POS3G,SANTINIS,1330,1000,0.17,0.1277767533,0.0967333333,0,0.1200702258,0.1101088281
POS3G,SANTINIS,1330,1000,0.3,0.1329620234,0.10075,0.0566544,0.1249708307,0.1146361549
POS3G,SANTINIS,1330,1000,0.5,0.1353817964,0.1029166667,0.0568286,0.1273474304,0.1169377514
POS3G,SANTINIS,1330,1000,0.7,0.1179510963,0.0862,0,0.1098580272,0.0996064649
POS3G,SANTINIS,1330,1000,0.9,0.1282107401,0.0747833333,0,0.1121815782,0.0944660733
POS3G,SANTINIS,16200,4,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,4,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,4,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,4,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,4,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,4,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,4,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,4,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,4,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,10,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,10,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,10,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,10,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,10,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,10,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,10,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,10,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,10,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,20,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,20,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,20,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,20,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,20,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,20,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,20,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,20,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,20,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,40,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,40,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,40,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,40,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,40,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,40,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,40,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,40,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,40,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,100,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,100,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,100,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,100,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,100,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,100,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,100,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,100,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,100,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,500,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,500,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,500,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,500,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,500,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,500,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,500,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,500,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,500,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,1000,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,1000,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,1000,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,1000,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,1000,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,1000,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,1000,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,1000,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,1000,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,5000,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,5000,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,5000,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,5000,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,5000,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,5000,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,5000,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,5000,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,5000,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,10000,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,10000,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,10000,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,10000,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,10000,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,10000,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,10000,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,10000,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,10000,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
POS3G,SANTINIS,16200,15000,0.05,0.1285452196,0.0989916667,0,0.1213023562,0.1118491664
POS3G,SANTINIS,16200,15000,0.07,0.1226025086,0.0974666667,0,0.11658904,0.1085991059
POS3G,SANTINIS,16200,15000,0.1,0.1259039725,0.0990666667,0,0.1194330544,0.1108845752
POS3G,SANTINIS,16200,15000,0.15,0.125815339,0.0992166667,0,0.1194127444,0.1109440278
POS3G,SANTINIS,16200,15000,0.17,0.1280400319,0.099125,0,0.1209818831,0.11174227
POS3G,SANTINIS,16200,15000,0.3,0.1321053987,0.0999583333,0,0.1241217708,0.1138052496
POS3G,SANTINIS,16200,15000,0.5,0.1353781808,0.1031916667,0.0568269,0.1274289102,0.1171137112
POS3G,SANTINIS,16200,15000,0.7,0.117615786,0.0855166667,0,0.1094028052,0.0990300647
POS3G,SANTINIS,16200,15000,0.9,0.1282445371,0.0747166667,0,0.1121722428,0.094422029
,,,,MAX,0.1777416426,0.1031916667,0.0576867,0.1439181073,0.1220221052
